network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,split,training
 gtsrb_cnn_vnncomp23_relu_standard.onnx,53,28,image_53,0,0.0078,102.2805338,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,54,18,image_54,0,0.0039,93.76372647,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,56,25,image_56,0,0.0078,103.5310895,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,58,5,image_58,0,0.0039,89.34643745,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,55,38,image_55,0,0.0156,146.0913353,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,57,6,image_57,0,0.0117,122.894691,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,59,15,image_59,0,0.0117,121.3193905,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,61,10,image_61,0,0.0078,104.5767448,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,60,36,image_60,0,0.0117,119.2985561,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,62,13,image_62,0,0.0117,122.0198452,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,63,17,image_63,0,0.0195,151.4861569,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,64,23,image_64,0,0.0078,100.8196654,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,65,25,image_65,0,0.0078,102.8194854,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,67,7,image_67,0,0.0078,106.5397906,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,68,12,image_68,0,0.0078,102.5120876,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,66,25,image_66,0,0.0234,163.9369454,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,69,8,image_69,0,0.0078,101.4541633,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,70,10,image_70,0,0.0078,104.3057563,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,72,18,image_72,0,0.0039,91.53958058,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,71,1,image_71,0,0.0156,144.9707775,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,74,9,image_74,0,0.0117,120.989769,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,75,30,image_75,0,0.0039,89.59065723,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,73,34,image_73,0,0.0195,146.6472032,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,76,4,image_76,0,0.0117,124.8892186,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,77,40,image_77,0,0.0078,105.0968997,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,79,3,image_79,0,0.0117,121.169234,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,80,7,image_80,0,0.0117,120.6266551,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,78,12,image_78,0,0.0156,144.2895575,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,81,2,image_81,0,0.0039,92.7995832,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,82,13,image_82,0,0.0234,171.9318404,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,85,9,image_85,0,0.0117,122.2194457,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,84,14,image_84,0,0.0156,138.0983899,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,83,7,image_83,0,0.0195,149.4015417,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,86,9,image_86,0,0.0156,148.4548109,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,87,7,image_87,0,0.0078,102.4298434,test,standard
