,epsilon_value,result,time,network,image,split
6,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_78,test
7,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_78,test
0,0.1989,SAT,8.566852807998657,gtsrb_7_1024_standard,image_96,test
1,0.0974999999999999,SAT,8.415014028549194,gtsrb_7_1024_standard,image_96,test
2,0.0467999999999999,SAT,7.442164182662964,gtsrb_7_1024_standard,image_96,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_96,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_96,test
5,0.0156,UNSAT,37.23279333114624,gtsrb_7_1024_standard,image_96,test
6,0.0351,SAT,7.48672890663147,gtsrb_7_1024_standard,image_96,test
7,0.0272999999999999,SAT,7.836771011352539,gtsrb_7_1024_standard,image_96,test
0,0.1989,SAT,9.350341796875,gtsrb_7_1024_standard,image_91,test
1,0.0974999999999999,SAT,8.947146654129028,gtsrb_7_1024_standard,image_91,test
2,0.0467999999999999,SAT,8.465548038482666,gtsrb_7_1024_standard,image_91,test
3,0.0195,SAT,8.344633102416992,gtsrb_7_1024_standard,image_91,test
4,0.0078,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_91,test
5,0.0039,UNSAT,10.394294738769531,gtsrb_7_1024_standard,image_91,test
6,0.0116999999999999,SAT,8.284497022628784,gtsrb_7_1024_standard,image_91,test
0,0.1989,SAT,9.131163597106934,gtsrb_7_1024_standard,image_30,test
1,0.0974999999999999,SAT,9.029917001724243,gtsrb_7_1024_standard,image_30,test
2,0.0467999999999999,SAT,8.224536180496216,gtsrb_7_1024_standard,image_30,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_30,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_30,test
5,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_30,test
6,0.0272999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_30,test
7,0.0116999999999999,UNSAT,10.24643063545227,gtsrb_7_1024_standard,image_30,test
8,0.0351,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_30,test
9,0.039,SAT,8.391778945922852,gtsrb_7_1024_standard,image_30,test
10,0.0312,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_30,test
0,0.1989,SAT,7.867062568664551,gtsrb_7_1024_standard,image_47,test
1,0.0974999999999999,SAT,8.37636947631836,gtsrb_7_1024_standard,image_47,test
2,0.0467999999999999,SAT,8.407995700836182,gtsrb_7_1024_standard,image_47,test
3,0.0195,SAT,7.559545040130615,gtsrb_7_1024_standard,image_47,test
4,0.0078,SAT,7.7750303745269775,gtsrb_7_1024_standard,image_47,test
5,0.0,UNSAT,9.25012731552124,gtsrb_7_1024_standard,image_47,test
6,0.0039,UNSAT,1830.543372869492,gtsrb_7_1024_standard,image_47,test
0,0.1989,SAT,9.016509056091309,gtsrb_7_1024_standard,image_82,test
1,0.0974999999999999,SAT,9.216980457305908,gtsrb_7_1024_standard,image_82,test
2,0.0467999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
3,0.0429,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
4,0.0506999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
5,0.039,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
6,0.0545999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
7,0.0351,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
8,0.0584999999999999,SAT,8.551873683929443,gtsrb_7_1024_standard,image_82,test
9,0.0156,UNSAT,10.067466735839844,gtsrb_7_1024_standard,image_82,test
10,0.0233999999999999,UNSAT,1070.7747864723206,gtsrb_7_1024_standard,image_82,test
11,0.0272999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
12,0.0312,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_82,test
0,0.1989,SAT,9.08087921142578,gtsrb_7_1024_standard,image_66,test
1,0.0974999999999999,SAT,9.122150659561155,gtsrb_7_1024_standard,image_66,test
2,0.0467999999999999,SAT,8.354486465454102,gtsrb_7_1024_standard,image_66,test
3,0.0195,SAT,8.46778154373169,gtsrb_7_1024_standard,image_66,test
4,0.0078,UNSAT,9.990237951278688,gtsrb_7_1024_standard,image_66,test
5,0.0116999999999999,UNSAT,21.80797576904297,gtsrb_7_1024_standard,image_66,test
6,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_66,test
0,0.1989,SAT,9.253823041915894,gtsrb_7_1024_standard,image_11,test
1,0.0974999999999999,SAT,8.297072172164917,gtsrb_7_1024_standard,image_11,test
2,0.0467999999999999,SAT,8.318851232528687,gtsrb_7_1024_standard,image_11,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_11,test
4,0.0233999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_11,test
5,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_11,test
6,0.0272999999999999,SAT,8.425432920455933,gtsrb_7_1024_standard,image_11,test
7,0.0039,UNSAT,10.013536214828491,gtsrb_7_1024_standard,image_11,test
8,0.0078,UNSAT,9.982158660888672,gtsrb_7_1024_standard,image_11,test
9,0.0116999999999999,UNSAT,33.805251121521,gtsrb_7_1024_standard,image_11,test
0,0.1989,SAT,8.888493061065674,gtsrb_7_1024_standard,image_88,test
1,0.0974999999999999,SAT,9.042110204696655,gtsrb_7_1024_standard,image_88,test
2,0.0467999999999999,SAT,9.149991512298584,gtsrb_7_1024_standard,image_88,test
3,0.0195,SAT,8.270981311798096,gtsrb_7_1024_standard,image_88,test
4,0.0078,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_88,test
5,0.0039,UNSAT,10.08246111869812,gtsrb_7_1024_standard,image_88,test
6,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_88,test
7,0.0156,SAT,8.346233606338501,gtsrb_7_1024_standard,image_88,test
0,0.1989,SAT,9.370405673980711,gtsrb_7_1024_standard,image_29,test
